code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason,entry_score,concurrent_positions,market_state_at_entry
512660,2025-11-07,2025-11-10,1.195,1.196,-0.0001635983263599247,20,到期,1.0,1,range
512660,2026-01-12,2026-01-13,1.682,1.654,-0.01763852556480382,20,到期,1.0,1,trend
512660,2026-02-10,2026-02-11,1.469,1.465,-0.0037215793056501042,20,到期,1.0,1,trend
512660,2026-03-23,2026-03-24,1.259,1.276,0.01249602859412242,19,止损,1.0,1,range
512660,2026-05-26,2026-05-27,1.348,1.348,-0.001,20,到期,1.0,1,range
512690,2024-03-22,2024-03-25,0.696,0.692,-0.0067442528735632236,20,到期,1.0,1,trend
512690,2024-04-25,2024-04-26,0.68,0.682,0.0019397058823529439,20,到期,1.0,1,trend
512690,2024-05-29,2024-05-30,0.683,0.68,-0.005390190336749637,20,到期,1.0,1,range
512690,2024-11-06,2024-11-07,0.643,0.64,-0.005663297045101092,20,到期,1.0,1,trend
512690,2024-12-06,2024-12-09,0.636,0.635,-0.002571540880503146,20,到期,1.0,1,trend
512690,2025-01-08,2025-01-09,0.575,0.575,-0.0009999999999999998,20,到期,1.0,1,range
512690,2025-03-27,2025-03-28,0.629,0.628,-0.002589030206677267,20,到期,1.0,1,trend
512690,2025-05-20,2025-05-21,0.593,0.593,-0.001,20,到期,1.0,1,range
512690,2025-08-21,2025-08-22,0.603,0.603,-0.001,20,到期,1.0,1,trend
512690,2025-09-24,2025-09-25,0.593,0.594,0.0006854974704890405,20,到期,1.0,1,trend
512690,2025-11-13,2025-11-14,0.607,0.605,-0.004293245469522243,20,到期,1.0,1,trend
512690,2026-03-12,2026-03-13,0.506,0.505,-0.0029752964426877485,20,到期,1.0,1,range
512760,2024-03-28,2024-03-29,0.396,0.396,-0.001,20,到期,1.0,1,range
512760,2024-05-30,2024-05-31,0.391,0.39,-0.003556265984654734,20,到期,1.0,1,range
512760,2024-07-02,2024-07-03,0.392,0.392,-0.001,20,到期,1.0,1,range
512760,2024-08-06,2024-08-07,0.397,0.397,-0.001,20,到期,1.0,1,range
512760,2024-11-08,2024-11-11,0.592,0.597,0.00744172297297298,20,到期,1.0,1,trend
512760,2024-11-26,2024-11-27,0.535,0.533,-0.004736448598130844,10,止损,1.0,1,trend
512760,2025-01-10,2025-01-13,0.544,0.536,-0.01569852941176472,20,到期,1.0,1,range
512760,2025-02-19,2025-02-20,0.609,0.609,-0.001,20,到期,1.0,1,trend
