date,close,v7_vwap_dist,future_return_5d
2024-10-09,0.96,0.29758504400754954,-0.08958333333333335
2024-10-10,0.925,0.1988629722371339,-0.05081081081081085
2024-10-11,0.874,0.11439704521012288,0.10526315789473673
2024-10-14,0.909,0.1438019636950626,0.10781078107810771
2024-10-15,0.892,0.10663421931316978,0.10986547085201792
2024-10-16,0.874,0.07616401864600794,0.1167048054919908
2024-10-17,0.878,0.07162005704310093,0.11389521640091105
2024-10-18,0.966,0.16044914311557928,0.01863354037267073
2024-10-21,1.007,0.17296154771723032,-0.02581926514399202
2024-10-22,0.99,0.13885472599550736,-0.01717171717171717
2024-10-23,0.976,0.11260577153430389,-0.013319672131147597
2024-10-24,0.978,0.10395213944169865,0.008179959100204526
2024-10-25,0.984,0.10044760531237693,-0.04166666666666674
2024-10-28,0.981,0.08951835027889402,-0.022426095820591296
2024-10-29,0.973,0.06518377151091487,0.0349434737923946
2024-10-30,0.963,0.041872193426883315,0.05711318795430942
2024-10-31,0.986,0.05386495696417042,0.06389452332657197
2024-11-01,0.943,0.000577698309744237,0.1198303287380702
2024-11-04,0.959,0.009570518594655231,0.16892596454640252
2024-11-05,1.007,0.05668832082944156,0.08639523336643506
2024-11-06,1.018,0.06278097810516559,0.07563850687622775
2024-11-07,1.049,0.0898880239905667,0.0019065776930409228
2024-11-08,1.056,0.08562012332073214,-0.045454545454545525
2024-11-11,1.121,0.1387968320282844,-0.1231043710972346
2024-11-12,1.094,0.10008533372742723,-0.07038391224862905
2024-11-13,1.095,0.09287632342266759,-0.07123287671232881
2024-11-14,1.051,0.04259188287721776,-0.027592768791626976
2024-11-15,1.008,-0.007070013234314396,-0.02876984126984128
2024-11-18,0.983,-0.03008584894419713,-0.015259409969481164
2024-11-19,1.017,0.0027917573151390396,-0.05703048180924286
2024-11-20,1.017,0.001073412661689612,-0.02654867256637161
2024-11-21,1.022,0.004179708447038782,-0.0332681017612525
2024-11-22,0.979,-0.038752266764535775,0.026557711950970342
2024-11-25,0.968,-0.04917367590887432,0.04752066115702491
2024-11-26,0.959,-0.05885125445114322,0.04379562043795615
2024-11-27,0.99,-0.028819849728433447,0.013131313131313105
2024-11-28,0.988,-0.032455218337867464,0.014170040485830038
2024-11-29,1.005,-0.018968046336598772,0.007960199004975133
2024-12-02,1.014,-0.012217968621152228,-0.017751479289940808
2024-12-03,1.001,-0.02664882934779377,0.004995004995005159
2024-12-04,1.003,-0.024564228120330288,0.004985044865403854
2024-12-05,1.002,-0.02422796070277466,0.010978043912175606
2024-12-06,1.013,-0.00957873779396691,-0.01382033563672247
2024-12-09,0.996,-0.0188882956944005,-0.016064257028112428
2024-12-10,1.006,-0.003200514821262849,-0.035785288270377746
2024-12-11,1.008,0.002531812004128039,-0.008928571428571397
2024-12-12,1.013,0.010535973485641144,0.0049358341559724295
2024-12-13,0.999,-0.002018971883486102,0.05305305305305308
2024-12-16,0.98,-0.021066458077586902,0.055102040816326525
2024-12-17,0.97,-0.030015594442611003,0.08247422680412386
2024-12-18,0.999,0.000507611116773304,0.049049049049049165
2024-12-19,1.018,0.01999197404641281,0.04911591355599221
2024-12-20,1.052,0.049682887394483115,0.0038022813688212143
2024-12-23,1.034,0.02819732586297109,0.02224371373307532
2024-12-24,1.05,0.04093477803971993,-0.03904761904761922
2024-12-25,1.048,0.035353428769711266,-0.08015267175572527
2024-12-26,1.068,0.05185539938823552,-0.1179775280898877
2024-12-27,1.056,0.03684838592110154,-0.11458333333333337
2024-12-30,1.057,0.03625088197611722,-0.075685903500473
2024-12-31,1.009,-0.011684996095108518,-0.031714568880079175
2025-01-02,0.964,-0.053384988635221155,0.016597510373443924
2025-01-03,0.942,-0.07234709996460283,0.035031847133758065
2025-01-06,0.935,-0.07682066683632147,0.03850267379679129
2025-01-07,0.977,-0.033131796685185184,0.03377686796315249
2025-01-08,0.977,-0.030547709184787927,0.03275332650972351
2025-01-09,0.98,-0.026515225089796958,0.008163265306122547
2025-01-10,0.975,-0.030380429515574667,0.036923076923076836
