date,close,v8_cmf,future_return_5d
2022-11-18,0.884,-0.03889222091811005,-0.009049773755656076
2022-11-21,0.869,-0.0011914510058985655,-0.008055235903337121
2022-11-22,0.87,-0.0014875488402375748,0.02758620689655178
2022-11-23,0.871,-0.0023422852098360643,0.02640642939150406
2022-11-24,0.867,-0.016285019468836162,0.03460207612456756
2022-11-25,0.876,0.0315045502612478,0.020547945205479534
2022-11-28,0.862,0.07522174890222554,0.07424593967517401
2022-11-29,0.894,0.08340207973927084,0.030201342281879207
2022-11-30,0.894,0.04844061048767256,0.020134228187919545
2022-12-01,0.897,-0.04140956039294062,0.01449275362318847
2022-12-02,0.894,-0.10087908504638027,0.02684563758389258
2022-12-05,0.926,-0.029036397571157068,-0.03239740820734349
2022-12-06,0.921,-0.042531535377914334,-0.026058631921824116
2022-12-07,0.912,-0.04551528414983167,-0.009868421052631637
2022-12-08,0.91,-0.06632955286023574,-0.015384615384615441
2022-12-09,0.918,-0.03709059149906847,-0.027233115468409563
2022-12-12,0.896,-0.043088002692826484,-0.03125
2022-12-13,0.897,-0.11455436071706653,-0.03790412486064665
2022-12-14,0.903,-0.07049394952497536,-0.044296788482835026
2022-12-15,0.896,-0.13192358402524007,-0.0379464285714286
2022-12-16,0.893,-0.107074858000813,-0.03135498320268759
2022-12-19,0.868,-0.13830725721734907,-0.00691244239631339
2022-12-20,0.863,-0.14263122238508308,0.011587485515643037
2022-12-21,0.863,-0.13950353049181322,0.004634994206257348
2022-12-22,0.862,-0.12896271994504116,0.0034802784222738303
2022-12-23,0.865,-0.13595452306449834,0.0046242774566473965
2022-12-26,0.862,-0.17528726491805247,0.002320185614849146
2022-12-27,0.873,-0.2422750262486491,-0.008018327605956443
2022-12-28,0.867,-0.23665669860070193,0.018454440599769306
2022-12-29,0.865,-0.11420772981129672,0.021965317919075078
2022-12-30,0.869,-0.10134285450083412,0.034522439585730647
2023-01-03,0.864,-0.11852835264037055,0.03935185185185186
2023-01-04,0.866,-0.08706513467845958,0.03002309468822184
2023-01-05,0.883,-0.02276697146803062,0.01925254813137034
2023-01-06,0.884,-0.028695251686217775,0.03846153846153855
2023-01-09,0.899,-0.050278340856251595,0.05339265850945485
2023-01-10,0.898,-0.03630381722477456,0.06792873051224935
2023-01-11,0.892,-0.061059890730067026,0.07062780269058289
2023-01-12,0.9,-0.03051087630204527,0.08333333333333326
2023-01-13,0.918,0.05945128833448719,0.05555555555555558
2023-01-16,0.947,0.09047809951287086,0.014783526927138357
