date,close,v9_ad_osc,future_return_5d
2025-04-17,3.652,9170186.004958749,0.005202628696604483
2025-04-18,3.662,9640263.186914325,0.0024576734025123503
2025-04-21,3.664,10831762.02293107,0.0002729257641920224
2025-04-22,3.667,11602781.879086703,-0.002454322334333181
2025-04-23,3.671,12185381.376344174,-0.00435848542631434
2025-04-24,3.671,13357332.745580792,0.005720512122037613
2025-04-25,3.671,14658200.379306525,0.012258240261509235
2025-04-28,3.665,15894890.29927504,0.020190995907230613
2025-04-29,3.658,17163565.275444925,0.020776380535811878
2025-04-30,3.655,18702844.022069335,0.03392612859097133
2025-05-06,3.692,20695261.566842616,0.024647887323943518
2025-05-07,3.716,22840374.611103326,0.03175457481162547
2025-05-08,3.739,25680083.06115043,0.016314522599625514
2025-05-09,3.734,26486740.24079925,0.011783610069630468
2025-05-12,3.779,27010866.526327968,-0.0018523418893887644
2025-05-13,3.783,27160499.47011569,0.0023790642347343294
2025-05-14,3.834,27132282.764957964,-0.006781429316640608
2025-05-15,3.8,27613385.979531705,0.0015789473684211242
2025-05-16,3.778,27555893.37981975,-0.000264690312334559
2025-05-19,3.772,26826272.36170447,-0.0042417815482502785
2025-05-20,3.792,25888414.592365474,-0.015031645569620222
2025-05-21,3.808,24406531.634415865,-0.020220588235294157
2025-05-22,3.806,22669644.839019,-0.013399894902785148
2025-05-23,3.777,21056819.00590846,-0.007678051363515959
2025-05-26,3.756,19527666.886018693,-0.0026624068157613534
2025-05-27,3.735,17842708.80050403,0.00749665327978577
2025-05-28,3.731,16235800.111428678,0.011257035647279645
2025-05-29,3.755,14599530.795872211,0.005326231691078487
2025-05-30,3.748,13042389.539706498,0.009605122732123661
2025-06-03,3.746,11574663.936381727,0.004004271222637579
2025-06-04,3.763,9795737.734099567,0.007972362476747374
2025-06-05,3.773,8194870.071647763,0.005830903790087438
2025-06-06,3.775,6059257.3240062,-0.0015894039735099286
2025-06-09,3.784,4823228.507441878,-0.0013213530655390437
2025-06-10,3.761,3492616.1127671003,0.00452007444828495
2025-06-11,3.793,2510351.9288066328,-0.003163722646981282
2025-06-12,3.795,1487298.1072467864,-0.011857707509881354
2025-06-13,3.769,560949.5979733467,-0.0037145131334571646
2025-06-16,3.779,-14839.730729490519,-0.0029108229690394394
2025-06-17,3.778,-335734.13120889664,0.009264160931709897
2025-06-18,3.781,-502473.0811327398,0.025654588733139416
2025-06-19,3.75,-560688.976641953,0.030133333333333345
2025-06-20,3.755,-635559.2907785475,0.022636484687083902
2025-06-23,3.768,-313852.1896266937,0.02415074309978782
2025-06-24,3.813,232941.24402087927,0.013637555730396045
2025-06-25,3.878,1301544.1769514978,-0.0023207839092315163
2025-06-26,3.863,2250192.0110883713,0.007507118819570335
2025-06-27,3.84,2838305.3684069216,0.01796875000000009
2025-06-30,3.859,3360105.498271048,0.008292303705623283
2025-07-01,3.865,3883999.788807094,0.015523932729624823
2025-07-02,3.869,4556974.493071735,0.013698630136986356
2025-07-03,3.892,5182802.506067693,0.012846865364851023
2025-07-04,3.909,5910428.860476613,0.012023535431056498
2025-07-07,3.891,6726275.770868301,0.016448213826779856
2025-07-08,3.925,7979307.428848594,0.007643312101910826
2025-07-09,3.922,8916730.651915073,0.006119326874043818
2025-07-10,3.942,9773073.519889563,0.00938609842719429
2025-07-11,3.956,10412084.313541174,0.013397371081901088
2025-07-14,3.955,10634164.42799592,0.019974715549936795
2025-07-15,3.955,10857410.182305723,0.03109987357774968
2025-07-16,3.946,10945862.242058516,0.032944754181449376
2025-07-17,3.979,11328759.722446173,0.03091228951998004
2025-07-18,4.009,11901755.828798413,0.017710152157645265
2025-07-21,4.034,12250614.170919895,0.014129895884977817
2025-07-22,4.078,12482410.814543724,0.008337420304070475
2025-07-23,4.076,11696005.998269916,0.008096172718351502
2025-07-24,4.102,11440594.957434624,-0.017064846416382284
