date,close,volume,v6_turnover,future_return_5d
2024-02-29,0.91,927761,1.1974863604016253,0.05274725274725256
2024-03-01,0.92,906294,1.1794294584466019,0.04456521739130426
2024-03-04,0.925,710882,0.9208228393162319,0.051891891891891806
2024-03-05,0.924,924559,1.1818297442898384,0.031385281385281294
2024-03-06,0.929,577207,0.7377767268265248,0.03336921420882666
2024-03-07,0.958,3365812,3.6833859890331615,0.01565762004175375
2024-03-08,0.961,1891100,1.9248448398564921,0.048907388137356955
2024-03-11,0.973,1947841,1.8959928939238249,0.038026721479959
2024-03-12,0.953,1505156,1.421111333618659,0.05246589716684147
2024-03-13,0.96,1570259,1.4380401262409293,0.043749999999999956
2024-03-14,0.973,1910458,1.6936000501043595,0.033915724563206684
2024-03-15,1.008,3522317,2.7936189555605124,-0.02777777777777779
2024-03-18,1.01,3209613,2.311891697935891,-0.023762376237623783
2024-03-19,1.003,2180174,1.4825357457251553,-0.018943170488534333
2024-03-20,1.002,1526518,1.019919940736435,-0.031936127744511045
2024-03-21,1.006,1868072,1.200912426836684,-0.017892644135188873
2024-03-22,0.98,3148571,1.869104879826865,0.04285714285714293
2024-03-25,0.986,2311164,1.3078809429520293,0.05679513184584173
2024-03-26,0.984,1848827,1.0094742481217942,0.07012195121951215
2024-03-27,0.97,1220830,0.6586013184919706,0.12268041237113403
2024-03-28,0.988,1703367,0.9000851039185399,0.09919028340080982
2024-03-29,1.022,2711576,1.367607444770874,0.066536203522505
2024-04-01,1.042,2913708,1.3922158875253963,0.052783109404990425
2024-04-02,1.053,2300785,1.064356444231543,0.03893637226970581
2024-04-03,1.089,4120930,1.7619441727420426,0.01469237832874204
2024-04-08,1.086,5919135,2.399791966013007,0.016574585635359185
2024-04-09,1.09,4353849,1.6812451067370877,-0.03211009174311941
2024-04-10,1.097,2856806,1.0841333407587153,-0.01731996353691878
2024-04-11,1.094,3526576,1.2888699533025416,-0.000914076782449813
2024-04-12,1.105,2316687,0.8352942294192625,-0.017194570135746545
2024-04-15,1.104,2277918,0.8159108632216068,-0.03894927536231896
2024-04-16,1.055,3017477,1.0906691270855728,-0.040758293838862536
2024-04-17,1.078,1997690,0.7382356386636822,-0.051948051948051965
2024-04-18,1.093,2066119,0.765135671831251,-0.055809698078682524
2024-04-19,1.086,2196944,0.8036076428509807,-0.023941068139963217
2024-04-22,1.061,1752760,0.6424870887957177,-0.006597549481621057
2024-04-23,1.012,3361269,1.2273134737335496,0.031620553359683834
